"","X","CASE_STATUS","EMPLOYER_NAME","SOC_NAME","JOB_TITLE","FULL_TIME_POSITION","PREVAILING_WAGE","YEAR","WORKSITE","lon","lat"
"19",1033705,"CERTIFIED","TESLA MOTORS, INC.","MECHANICAL ENGINEERS","TEST ENGINEER","Y",91749,2015,"PALO ALTO, CALIFORNIA",-122.1430195,37.4418834
"20",1083348,"CERTIFIED","HAYWARD QUARTZ TECHNOLOGY, INC.","COMPUTER SYSTEMS ANALYSTS","BUSINESS ANALYST (SYSTEMS ANALYST)","Y",60611,2015,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"21",2516644,"CERTIFIED","SAVIN TECHNOLOGIES, INC.","Computer Programmers","COMPUTER PROGRAMMER","Y",43035,2012,"LOUISVILLE, KENTUCKY",-85.7584557,38.2526647
"22",1718748,"CERTIFIED","CHEMPACIFIC CORPORATION","Chemists","CHEMIST","Y",53165,2014,"BALTIMORE, MARYLAND",-76.6121893,39.2903848
"23",332359,"CERTIFIED","LEAD IT CORPORATION","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE DEVELOPER","N",50856,2016,"NAPERVILLE, ILLINOIS",-88.1535352,41.7508391
"24",1609897,"CERTIFIED","CHINA DAILY DISTRIBUTION CORPORATION","Accountants and Auditors","ACCOUNTANT","Y",54642,2014,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"25",777323,"CERTIFIED","WIPRO LIMITED","COMPUTER OCCUPATIONS, ALL OTHER","PROJECT MANAGER","Y",77542,2015,"NORTH QUINCY, MASSACHUSETTS",-71.0245188,42.2811843
"26",1747242,"CERTIFIED","JASPER TECHNOLOGIES, INC.","Software Developers, Applications","SENIOR MOBILE APPLICATIONS ENGINEER","Y",131269,2014,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
"27",1830997,"CERTIFIED","AMERICAN INFORMATION TECHNOLOGY CORPORATION","Computer Programmers","PROGRAMMER ANALYST","Y",46696,2013,"ORLANDO, FLORIDA",-81.3792365,28.5383355
"28",1636376,"CERTIFIED","KPIT INFOSYSTEMS, INC.","Software Developers, Applications","ORACLE APPS DBA LEAD","Y",60403,2014,"ISELIN, NEW JERSEY",-74.3223703,40.5753817
"29",1645678,"CERTIFIED","HIGHPOINT SOLUTIONS, LLC","Computer Systems Analysts","CONSULTANT","Y",76149,2014,"EAST NORRITON, PENNSYLVANIA",-75.3365695,40.1517741
"30",2324754,"CERTIFIED","RESTORE PROFESSIONALS, LLC","Physical Therapists","PHYSICAL THERAPIST","Y",76897.6,2012,"WARSAW, MISSOURI",NA,NA
"31",306952,"CERTIFIED","PAYPAL, INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE ENGINEER 2","Y",74984,2016,"SCOTTSDALE, ARIZONA",-111.9260519,33.4941704
"32",255967,"CERTIFIED","INFOBIZ TECHNOLOGIES, INC.","COMPUTER PROGRAMMERS","PROGRAMMER ANALYST","N",52832,2016,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
"33",1723920,"CERTIFIED","WIPRO LIMITED","Computer Systems Analysts","BUSINESS SYSTEM ANALYST","Y",60000,2014,"TULSA, OKLAHOMA",-95.992775,36.1539816
"34",1047204,"CERTIFIED","EMETEORS INC","COMPUTER PROGRAMMERS","PROGRAMMER ANALYST","Y",66000,2015,"PRINCETON, NEW JERSEY",-74.6672226,40.3572976
"35",1889775,"CERTIFIED","GOOGLE INC.","Software Developers, Applications","SOFTWARE ENGINEER","Y",87714,2013,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"36",1899855,"WITHDRAWN","GOLDMAN, SACHS & CO.","Computer Systems Analysts","SENIOR ANALYST/DEVELOPER","Y",89086,2013,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"37",340228,"CERTIFIED","CANDELIS, INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE ENGINEER","Y",70138,2016,"NEWPORT BEACH, CALIFORNIA",-117.9289469,33.6189101
"38",2458258,"CERTIFIED","FROST & SULLIVAN","Network and Computer Systems Administrators*","SENIOR NETWORK ADMINISTRATOR","Y",40477,2012,"SAN ANTONIO, TEXAS",-98.4936282,29.4241219
"39",2920109,"WITHDRAWN","OMNIVISION TECHNOLOGIES, INC.","Electronics Engineers, Except Computer","PRODUCT ENGINEER (CLARK)","Y",94432,2011,"SANTA CLARA, CALIFORNIA",-121.9552356,37.3541079
"40",1088423,"CERTIFIED","DGN TECHNOLOGIES INC","COMPUTER SYSTEMS ANALYSTS","PROGRAMMER ANALYST","Y",76877,2015,"FREMONT, CALIFORNIA",-121.9885719,37.5482697
"41",508071,"CERTIFIED","KERRY INC.","COMPUTER OCCUPATIONS, ALL OTHER","BUSINESS INTELLIGENCE DEVELOPER","N",52499,2016,"BELOIT, WISCONSIN",-89.0317765,42.5083482
"42",1550952,"CERTIFIED","BELL INFO SOLUTIONS, LLC","Computer Systems Analysts","DATA ANALYST","Y",58157,2014,"TAMPA, FLORIDA",-82.4571776,27.950575
"43",958065,"CERTIFIED","LARSEN & TOUBRO INFOTECH LIMITED","COMPUTER OCCUPATIONS, ALL OTHER","SOFTWARE ENGINEER & TESTER","Y",59654,2015,"MARYSVILLE, OHIO",-83.3671432,40.2364486
"44",1855049,"CERTIFIED","HITACHI SOLUTIONS AMERICA, LTD.","Computer and Information Systems Managers","DIRECTOR, CONSULTING SERVICES","Y",133578,2013,"IRVINE, CALIFORNIA",-117.7946942,33.6839473
"45",2427358,"CERTIFIED","NTT DATA, INC (FORMERLY KEANE, INC)","Computer Programmers","COMPUTER PROGRAMMER","Y",58157,2012,"ST. LOUIS PARK, MINNESOTA",-93.3702186,44.9597376
"46",2158187,"CERTIFIED","PALATIAL TECHNOLOGIES, INC","Computer Systems Analysts","COMPUTER PROGRAMMER ANALYST","Y",49504,2013,"ALPHARETTA, GEORGIA",-84.2940899,34.0753762
"47",6570,"CERTIFIED","VERVEBA TELECOM LLC","SALES MANAGERS","BUSINESS DEVELOPMENT MANAGER","Y",107120,2016,"RICHARDSON, TEXAS",-96.7298519,32.9483335
"48",2074107,"CERTIFIED","INSURANCE AUTO AUCTIONS, INC.","Software Developers, Applications","DATABASE DESIGNER/ANALYST","Y",80974,2013,"WESTCHESTER, ILLINOIS",-87.8806738,41.8498339
"49",969273,"CERTIFIED","TAHOE RESOURCES USA INC.","FINANCIAL MANAGERS","VICE PRESIDENT TREASURER","Y",120765,2015,"RENO, NEVADA",-119.8138027,39.5296329
"50",634225,"CERTIFIED","IU HEALTH CARE ASSOCIATES","PHYSICIANS AND SURGEONS, ALL OTHER","ASSISTANT PROFESSOR","Y",117000,2016,"INDIANAPOLIS, INDIANA",-86.158068,39.768403
"51",1019642,"CERTIFIED","SRNL INTERNATIONAL INC.","COMPUTER SYSTEMS ANALYSTS","BUSINESS ANALYST","Y",47778,2015,"FORT WAYNE, INDIANA",-85.1393513,41.079273
"52",2467892,"CERTIFIED","IBM INDIA PRIVATE LIMITED","Computer Programmers","SYSTEM ENGINEER","Y",70554,2012,"MIDDLETOWN, NEW JERSEY",-74.0915982,40.3968012
"53",2860035,"CERTIFIED","DELOITTE CONSULTING LLP","Computer Software Engineers, Systems Software","SENIOR CONSULTANT","Y",81557,2011,"DALLAS, TEXAS",-96.7969879,32.7766642
"54",2969620,"CERTIFIED","SATYAM COMPUTER SERVICES LIMITED","Database Administrators","DATABASE ADMINISTRATORS","Y",61797,2011,"WAUWATOSA, WISCONSIN",-88.0075875,43.0494572
"55",2667737,"CERTIFIED","KELTIA DESIGN, INC.","Aerospace Engineers","AEROSPACE (CATIA V5) SYSTEM DESIGN ENGINEER","Y",92144,2011,"EVERETT, WASHINGTON",-122.2020794,47.9789848
"56",2010572,"CERTIFIED","VISION IT SERVICES USA INC","Computer Systems Analysts","COMPUTER SYSTEMS ANALYSTS","Y",58094,2013,"FARMINGTON HILLS, MICHIGAN",-83.3677168,42.4989936
"57",2792079,"CERTIFIED","DR. FRESH, INC.","Management Analysts","MANAGEMENT ANALYST","Y",44387,2011,"BUENA PARK, CALIFORNIA",-117.9981181,33.8675143
"58",1657533,"CERTIFIED","FLUID INCLUSION TECHNOLOGIES, INC.","Architectural and Engineering Managers","SENIOR TECHNOLOGIST","Y",111030,2014,"BROKEN ARROW, OKLAHOMA",-95.7974526,36.060949
"59",604352,"CERTIFIED","NATIONAL UNIVERSITY OF NATURAL MEDICINE","HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","FACULTY-CLASSICAL CHINESE MEDICINE TEACHER","N",69410,2016,"PORTLAND, OREGON",-122.6764816,45.5230622
"60",1932600,"CERTIFIED","UNIVERSITY OF IDAHO","English Language and Literature Teachers, Postseco","ASSISANT PROFESSOR, ENGLISH","Y",45830,2013,"MOSCOW, IDAHO",-117.0001651,46.7323875
"61",1935562,"CERTIFIED","INFOSYS LIMITED","Computer Systems Analysts","TECHNOLOGY LEAD - US","Y",71240,2013,"DALLAS, TEXAS",-96.7969879,32.7766642
"62",1155654,"CERTIFIED","XCEL ENERGY SERVICES, INC.","ELECTRICAL ENGINEERS","PLANNING STAFF ENGINEER","Y",57366,2015,"DENVER, COLORADO",-104.990251,39.7392358
"63",336124,"CERTIFIED","SUSASH CONSULTING SERVICES LLC","SOFTWARE DEVELOPERS, APPLICATIONS","DEVELOPER","N",63877,2016,"EATONTOWN, NEW JERSEY",-74.0509725,40.2962222
"64",807103,"CERTIFIED","ORACLE FINANCIAL SERVICES SOFTWARE, INC.","SALES ENGINEERS","SENIOR SALES CONSULTANT","Y",112873,2015,"EDISON, NEW JERSEY",-74.4120953,40.5187154
"65",1312148,"CERTIFIED","MARISCAL AYACUCHO UNIVERSITY","Education Administrators, Postsecondary","PRESIDENT","Y",105165,2014,"DORAL, FLORIDA",-80.3553302,25.8195424
"66",374287,"CERTIFIED","LMK INFOTECH","SOFTWARE DEVELOPERS, APPLICATIONS","ETL DEVELOPER","Y",76107,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
"67",2130035,"CERTIFIED","INFOSYS LIMITED","Computer Systems Analysts","PROJECT MANAGER - US","Y",88649.6,2013,"EL SEGUNDO, CALIFORNIA",-118.4164652,33.9191799
"68",438104,"CERTIFIED","DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP","DATABASE ADMINISTRATORS","DATA ANALYTICS SENIOR ASSOCIATE","Y",71323,2016,"DALLAS, TEXAS",-96.7969879,32.7766642
"69",1811182,"CERTIFIED","IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY","Art, Drama, and Music Teachers, Postsecondary","LECTURER","Y",38920,2013,"AMES, IOWA",-93.6319131,42.0307812
"70",1084424,"CERTIFIED","EBAY INC.","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE ENGINEER 3","Y",115142,2015,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
"71",2550486,"CERTIFIED-WITHDRAWN","EVANTAGE TECHNOLOGIES INC.,","Computer Programmers","COMPUTER PROGRAMMER","Y",54163,2012,"ISELIN, NEW JERSEY",-74.3223703,40.5753817
"72",1094573,"CERTIFIED","THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER AT DALLAS","AUDIOLOGISTS","FACULTY ASSOCIATE-AUDIOLOGIST","Y",47590,2015,"DALLAS, TEXAS",-96.7969879,32.7766642
"73",2081973,"CERTIFIED","SALESFORCE.COM, INC.","Computer Occupations, All Other","ASSOCIATE QUALITY ASSURANCE ENGINEER","Y",60798,2013,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"74",728231,"CERTIFIED","IBM INDIA PRIVATE LIMITED","COMPUTER PROGRAMMERS","APPLICATION DEVELOPER","Y",57554,2015,"KANSAS CITY, MISSOURI",-94.5785667,39.0997265
"75",1889969,"CERTIFIED","DOTS TECHNOLOGIES, INC",NA,"SAP SECURITY SYSTEMS ANALYST","Y",44866,2013,"MORGANTOWN, WEST VIRGINIA",-79.9558968,39.629526
"76",2699169,"CERTIFIED","HTC GLOBAL SERVICES, INC.","Computer Systems Analysts","SYSTEM ANALYST","Y",73861,2011,"HARTFORD, CONNECTICUT",-72.6850932,41.7637111
"77",1446448,"CERTIFIED-WITHDRAWN","WIPRO LIMITED","Computer Programmers","PROGRAMMER ANALYST","Y",60986,2014,"NORTH CANTON, OHIO",-81.4023356,40.875891
"78",497336,"CERTIFIED","ACCENTURE LLP","COMPUTER OCCUPATIONS, ALL OTHER","COMPUTER SPECIALIST/TESTING AND QUALITY ANALYST 2","N",49192,2016,"CALEDONIA, MICHIGAN",-85.5166864,42.7891985
"79",1612152,"DENIED","ROTA AVIATION CONSULTING, LLC","Commercial Pilots","SPANISH LANGUAGE HELICOPTER INSTRUCTOR PILOT","Y",72300,2014,"LEADVILLE, COLORADO",NA,NA
"80",94732,"CERTIFIED","GOCOOL INC.","COMPUTER SYSTEMS ANALYSTS","SYSTEMS ANALYST","N",68411,2016,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
"81",1021937,"CERTIFIED","QUALCOMM TECHNOLOGIES, INC.","SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE","SENIOR SOFTWARE ENGINEER","Y",94432,2015,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
"82",2872628,"CERTIFIED","COUPONS.COM INCORPORATED","Computer Software Engineers, Applications","SOFTWARE ENGINEER","Y",82035,2011,"MOUNTAIN VIEW, CALIFORNIA",-122.0838511,37.3860517
"83",32839,"CERTIFIED","INTEGRATED MEDICAL SERVICES","MANAGEMENT ANALYSTS","BUSINESS ANALYST","N",45760,2016,"PHOENIX, ARIZONA",-112.0740373,33.4483771
"84",2108018,"CERTIFIED-WITHDRAWN","IBM INDIA PRIVATE LIMITED","Computer Programmers","APPLICATION DEVELOPER","Y",63898,2013,"ATLANTA, GEORGIA",-84.3879824,33.7489954
"85",1989168,"CERTIFIED","MALDONAOD & O'CONNELL","Physical Therapists","STAFF PHYSICAL THERAPIST","Y",65874,2013,"ADDISON, ILLINOIS",-87.9889556,41.931696
"86",659829,"CERTIFIED-WITHDRAWN","POPULUS GROUP","MECHANICAL ENGINEERS","MECHANICAL ENGINEER","Y",74651.2,2015,"SAN DIEGO, CALIFORNIA",-117.1610838,32.715738
"87",803953,"CERTIFIED","INFOSYS LIMITED","COMPUTER OCCUPATIONS, ALL OTHER","SENIOR TECHNOLOGY ARCHITECT - US","Y",102003,2015,"MALVERN, PENNSYLVANIA",-75.5138118,40.0362184
"88",165007,"CERTIFIED","INFOSYS LIMITED","COMPUTER SYSTEMS ANALYST","TECHNOLOGY LEAD - US","Y",75046,2016,"PENNINGTON, NEW JERSEY",-74.790718,40.3284402
"89",2975383,"CERTIFIED","SPA NAILS SUPPLY, INC.","Commercial and Industrial Designers","COMMERCIAL PRODUCT DESIGNER","Y",43410,2011,"ROSEMONT, ILLINOIS",-87.8721602,41.9867507
"90",2814712,"CERTIFIED","DANTA, LLC","Marketing Managers","CHIEF MARKETING OFFICER","Y",75400,2011,"AUSTIN, TEXAS",-97.7430608,30.267153
"91",847263,"WITHDRAWN","SMITHGROUPJJR, INC. SUB. OF SMITHGROUP CO., INC.","MECHANICAL ENGINEERS","MECHANICAL ENGINEER (NON-LICENSED)","Y",60301,2015,"DALLAS, TEXAS",-96.7969879,32.7766642
"92",1575873,"CERTIFIED","LARSEN & TOUBRO INFOTECH LIMITED",NA,"SOFTWARE QUALITY ASSURANCE ENGINEER & TESTER","Y",47466,2014,"BARTLESVILLE, OKLAHOMA",-95.9808179,36.7473114
"93",2917007,"CERTIFIED","CUSTOM METALCRAFTERS INC.","Cost Estimators","UNITIZED CURTAIN WALL ESTIMATOR","Y",37273.6,2011,"ALBERTSON, NEW YORK",NA,NA
"94",74096,"CERTIFIED","DEUTSCHE BANK SECURITIES INC.","FINANCIAL ANALYSTS","ASSOCIATE","Y",94640,2016,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"95",1227402,"CERTIFIED","TVISHA TECHNOLOGIES INC","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","NETWORK ENGINEER","Y",79914,2015,"ROCK HILL, SOUTH CAROLINA",-81.0250784,34.9248667
"96",2893752,"CERTIFIED","BECHTEL OIL, GAS &AMP; CHEMICALS, INC.","Electrical Engineers","ELECTRICAL ENGINEER","Y",95700,2011,"HOUSTON, TEXAS",-95.3698028,29.7604267
"97",1475531,"CERTIFIED","KMR GROUP, INC.","Computer Programmers","SOFTWARE DEVELOPER","Y",64085,2014,"CHICAGO, ILLINOIS",-87.6297982,41.8781136
"98",2635796,"CERTIFIED","INFOSYS LIMITED","Computer Systems Analysts","PROJECT MANAGER - US","Y",83762,2012,"HARTFORD, CONNECTICUT",-72.6850932,41.7637111
"99",1129429,"CERTIFIED","THE SHERWIN-WILLIAMS COMPANY","SOFTWARE DEVELOPERS, APPLICATIONS","DEVELOPER-ORACLE ERP INTEGRATION","Y",86902,2015,"CLEVELAND, OHIO",-81.6943605,41.49932
"100",2739273,"CERTIFIED","U.S.SECURITIES & EXCHANGE COMMISSION","Lawyers","GENERAL ATTORNEY","Y",122678,2011,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
"101",180069,"CERTIFIED","ORPINE, INC.","COMPUTER SYSTEMS ANALYSTS","SYSTEMS ANALYST (MQ ANALYST)","N",65374,2016,"BLOOMINGTON, ILLINOIS",-88.9936873,40.4842027
"102",2380724,"CERTIFIED","NUTANIX, INC.","Software Developers, Applications","MEMBER OF TECHNICAL STAFF, QUALITY AUTOMATION","Y",99653,2012,"SAN JOSE, CALIFORNIA",-121.8863286,37.3382082
"103",1517094,"CERTIFIED","BELL INFO SOLUTIONS, LLC","Computer Occupations, All Other","DATA ANALYST","Y",57200,2014,"FORT WASHINGTON, PENNSYLVANIA",-75.1926937,40.1416782
"104",633310,"CERTIFIED","USA HEALTHCARE MANGEMENT, LLC","PHYSICIANS AND SURGEONS, ALL OTHER","MEDICAL ONCOLOGIST","Y",187200,2016,"FAIRHOPE, ALABAMA",NA,NA
"105",676241,"CERTIFIED","TATA CONSULTANCY SERVICES LIMITED","COMPUTER OCCUPATIONS, ALL OTHER","DATA WAREHOUSING SPECIALIST","Y",65146,2015,"PENNINGTON, NEW JERSEY",-74.790718,40.3284402
"106",2367560,"CERTIFIED","IBM INDIA PRIVATE LIMITED","Computer Programmers","PROJECT MANAGER","Y",76315,2012,"DECATUR, GEORGIA",-84.2963123,33.7748275
"107",292996,"CERTIFIED","TRULIA INC.","SOFTWARE DEVELOPERS, APPLICATIONS","USER EXPERIENCE SOFTWARE DESIGNER","Y",76107,2016,"SAN FRANCISCO, CALIFORNIA",-122.4194155,37.7749295
"108",704744,"CERTIFIED","CALIFORNIA INSTITUTE OF TECHNOLOGY","BIOCHEMISTS AND BIOPHYSICISTS","RESEARCHER","Y",37794,2015,"PASADENA, CALIFORNIA",-118.1445155,34.1477849
"109",1208186,"CERTIFIED","BLOOMBERG, LP","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE DEVELOPER","Y",91562,2015,"NEW YORK, NEW YORK",-74.0059413,40.7127837
"110",571885,"CERTIFIED","THE UNIVERSITY OF KANSAS MEDICAL CENTER","BIOCHEMISTS AND BIOPHYSICISTS","RESEARCH ASSOCIATE","N",40810,2016,"KANSAS CITY, KANSAS",-94.6274636,39.114053
"111",2956949,"CERTIFIED","MINUTE MENU SYSTEMS LLC","Computer Systems Analysts","SOFTWARE DEVELOPER","Y",67122,2011,"RICHARDSON, TEXAS",-96.7298519,32.9483335
"112",2723673,"CERTIFIED","IBM INDIA PVT. LTD.",NA,"IT SPECIALIST","Y",66144,2011,"DUBLIN, OHIO",-83.1140771,40.0992294
"113",2810943,"CERTIFIED","PATNI AMERICAS, INC.","Computer Systems Analysts","COMPUTER SYSTEMS ANALYSTS","Y",64085,2011,"WAUWATOSA, WISCONSIN",-88.0075875,43.0494572
"114",2553976,"CERTIFIED","GATES CORPORATION, A WHOLLY-OWNED SUBSIDIARY OF TO","Computer and Information Systems Managers","DIRECTOR CRM & BUSINESS INTELLIGENCE MANAGEMENT","Y",143333,2012,"DENVER, COLORADO",-104.990251,39.7392358
"115",602589,"CERTIFIED-WITHDRAWN","TRUSTEES OF BOSTON UNIVERSITY","HEALTH SPECIALTIES TEACHERS, POSTSECONDARY","RESEARCH ASSISTANT PROFESSOR","N",54080,2016,"BOSTON, MASSACHUSETTS",-71.0588801,42.3600825
"116",2362663,"CERTIFIED-WITHDRAWN","NCS PEARSON, INC.","Computer Software Engineers, Applications","SENIOR SOFTWARE DEVELOPER","Y",88171,2012,"CHANDLER, ARIZONA",-111.8412502,33.3061605
"117",23560,"CERTIFIED","BAANYAN SOFTWARE SERVICES INC.","COMPLIANCE OFFICERS","CLINICAL SYSTEMS VALIDATION SPECIALIST","N",67434,2016,"TARRYTOWN, NEW YORK",-73.8587461,41.0762077
"118",1889566,"CERTIFIED","IBM INDIA PRIVATE LIMITED","Computer Programmers","IT ANALYST","Y",80766,2013,"SUNNYVALE, CALIFORNIA",-122.0363496,37.36883
"119",304621,"CERTIFIED","MICROSOFT CORPORATION","SOFTWARE DEVELOPERS, APPLICATIONS","SOFTWARE ENGINEER","Y",117458,2016,"REDMOND, WASHINGTON",-122.121512,47.6739881
"120",1778352,"CERTIFIED","UNITED NATIONS FOUNDATION","Public Relations Specialists","SENIOR ASSOCIATE, ENERGY ACCESS","Y",40498,2014,"WASHINGTON, DISTRICT OF COLUMBIA",-77.0368707,38.9071923
"121",1621611,"CERTIFIED","THE OHIO STATE UNIVERSITY","Mathematical Science Teachers, Postsecondary","VISITING ASSISTANT PROFESSOR","Y",53230,2014,"COLUMBUS, OHIO",-82.9987942,39.9611755
"122",2709093,"CERTIFIED","INTEL CORPORATION","Industrial Engineers","PROCESS ENGINEER","Y",73341,2011,"CHANDLER, ARIZONA",-111.8412502,33.3061605
"123",2137114,"CERTIFIED","INFOSYS LIMITED","Computer Systems Analysts","TECHNOLOGY LEAD - US","Y",78707,2013,"BELLEVUE, WASHINGTON",-122.2015159,47.6101497
"124",499239,"CERTIFIED","CONCEPTS INFORMATION TECHNOLOGY, INC","COMPUTER OCCUPATIONS, ALL OTHER","QA ANALYST","N",50336,2016,"FLINT, MICHIGAN",-83.6874562,43.0125274
"125",2609404,"CERTIFIED","IBM CORPORATION",NA,"MANAGING CONSULTANT","Y",87006,2012,"HERNDON, VIRGINIA",-77.3860976,38.9695545
"126",2401651,"CERTIFIED","CATERPILLAR INC","Mechanical Engineers","SENIOR ENGINEER- DESIGN","Y",55598,2012,"MOSSVILLE, ILLINOIS",-89.5679474,40.8171184
"127",901476,"CERTIFIED","NORTH DOME SOLUTIONS","COMPUTER PROGRAMMERS","PROGAMMER ANALYST","Y",55120,2015,"ASHBURN, VIRGINIA",-77.4874416,39.0437567
"128",1581076,"CERTIFIED","SIGMA GROUP INC","Computer Occupations, All Other","QA ANALYST","Y",72363,2014,"KENNESAW, GEORGIA",-84.6154897,34.0234337
"129",889449,"CERTIFIED","DELOITTE CONSULTING LLP","COMPUTER SYSTEMS ANALYSTS","CONSULTANT","Y",59280,2015,"PHILADELPHIA, PENNSYLVANIA",-75.1652215,39.9525839
"130",1727001,"CERTIFIED","WORELYPARSONS GROUP, INC.","Chemical Engineers","ASSOCIATE SAFETY AND RISK ENGINEER","Y",76107,2014,"BELLAIRE, TEXAS",-95.4588299,29.7057858
"131",2228062,"CERTIFIED","WISSEN INFOTECH, INC.","Computer Programmers","PROGRAMMER ANALYST","Y",44595,2013,"WOONSOCKET, RHODE ISLAND",-71.5147839,42.0028761
"132",1679169,"CERTIFIED","DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER","Physicians and Surgeons, All Other","PHYSICIAN","N",115440,2014,"OKLAHOMA CITY, OKLAHOMA",-97.5164276,35.4675602
